#TYPE Selected.Microsoft.SharePoint.Administration.SPFeatureDefinition
"Id","DisplayName","Scope","CompatibilityLevel"
"d2d98dc8-c7e9-46ec-80a5-b38f039c16be","FastFarmFeatureActivation","Farm","14"
"d3f51be2-38a8-4e44-ba84-940d35be1566","PublishingLayouts","Site","14"
"d44a1358-e800-47e8-8180-adf2d0f77543","EMailRouting","Web","14"
"d5191a77-fa2d-4801-9baf-9f4205c9e9d2","TimecardList","Web","14"
"d5ff2d2c-8571-4c3c-87bc-779111979811","AccSrvSolutionGalleryStapler","Farm","14"
"d7670c9c-1c29-4f44-8691-584001968a74","WhatsNewList","Web","14"
"d992aeca-3802-483a-ab40-6c9376300b61","BulkWorkflowTimerJob","WebApplication","14"
"da2e115b-07e4-49d9-bb2c-35e93bb9fca9","InPlaceRecords","Site","14"
"dd903064-c9d8-4718-b4e7-8ab9bd039fff","ContentTypePublish","Web","14"
"e09cefae-2ada-4a1d-aee6-8a8398215905","SearchServerWizardFeature","Site","14"
"e0a45587-1069-46bd-bf05-8c8db8620b08","RecordsCenter","Web","14"
"e4e6a041-bc5b-45cb-beab-885a27079f74","ExcelServer","Farm","14"
"e792e296-5d7f-47c7-9dfa-52eae2104c3b","OSearchHealthReports","Site","14"
"e8734bb6-be8e-48a1-b036-5a40ff0b8a81","RelatedLinksScopeSettingsLink","Web","14"
"e978b1a6-8de7-49d0-8600-09a250354e14","LocalSiteDirectorySettingsLink","Site","14"
"e995e28b-9ba8-4668-9933-cf5c146d7a9f","MobileExcelWebAccess","Site","14"
"eaf6a128-0482-4f71-9a2f-b1c650680e77","SearchWebParts","Site","14"
"eb657559-be37-4b91-a369-1c201183c779","NintexWorkflowWebParts","Site","14"
"ed5e77f7-c7b1-4961-a659-0de93080fa36","PersonalizationSite","Web","14"
"edf48246-e4ee-4638-9eed-ef3d0aee7597","OSearchPortalAdminLinks","Farm","14"
