"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ACS-Max-Peak-Bandwidth-Per-Flow","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-Peak-Bandwidth-Per-Flow,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Country-List","6/30/2014 11:27:44 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Country-List,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Public-Folder-Smtp-Address","10/23/2019 3:46:33 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Public-Folder-Smtp-Address,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Flags","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Flags,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Foreign-Forest-Public-Folder-Admin-USG-Sid","6/30/2014 11:24:52 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Foreign-Forest-Public-Folder-Admin-USG-Sid,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-Size-Of-RSVP-Account-File","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-Size-Of-RSVP-Account-File,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Remote-Queue-Retries","7/11/2011 2:54:54 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Smtp-Remote-Queue-Retries,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Cross-Certificate-CRL","7/11/2011 2:54:22 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Cross-Certificate-CRL,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Foreign-Forest-Read-Only-Admin-USG-Sid","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Foreign-Forest-Read-Only-Admin-USG-Sid,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Initial-Max-Attachment-Size","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Initial-Max-Attachment-Size,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
