DCTEST01WEB,Windows All-User Install Agent,Stopped,Manual
DCTEST01WEB,Application Host Helper Service,Running,Automatic
DCTEST01WEB,Application Identity,Stopped,Manual
DCTEST01WEB,Application Information,Running,Manual
DCTEST01WEB,Application Management,Stopped,Manual
DCTEST01WEB,ASP.NET State Service,Stopped,Manual
DCTEST01WEB,Windows Audio Endpoint Builder,Stopped,Manual
DCTEST01WEB,Windows Audio,Stopped,Manual
DCTEST01WEB,Base Filtering Engine,Running,Automatic
DCTEST01WEB,Background Intelligent Transfer Service,Stopped,Manual
DCTEST01WEB,Background Tasks Infrastructure Service,Running,Automatic
DCTEST01WEB,Computer Browser,Stopped,Disabled
DCTEST01WEB,Certificate Propagation,Running,Manual
DCTEST01WEB,COM+ System Application,Stopped,Manual
DCTEST01WEB,Cryptographic Services,Running,Automatic
DCTEST01WEB,DCOM Server Process Launcher,Running,Automatic
DCTEST01WEB,Optimize drives,Stopped,Manual
DCTEST01WEB,Device Association Service,Stopped,Manual
DCTEST01WEB,Device Install Service,Stopped,Manual
DCTEST01WEB,DHCP Client,Running,Automatic
DCTEST01WEB,DNS Client,Running,Automatic
DCTEST01WEB,Wired AutoConfig,Stopped,Manual
DCTEST01WEB,Diagnostic Policy Service,Running,Automatic
DCTEST01WEB,Device Setup Manager,Stopped,Manual
DCTEST01WEB,Extensible Authentication Protocol,Stopped,Manual
DCTEST01WEB,Encrypting File System (EFS),Stopped,Manual
DCTEST01WEB,Windows Event Log,Running,Automatic
DCTEST01WEB,COM+ Event System,Running,Automatic
DCTEST01WEB,Function Discovery Provider Host,Stopped,Manual
DCTEST01WEB,Function Discovery Resource Publication,Stopped,Manual
DCTEST01WEB,Windows Font Cache Service,Running,Automatic
DCTEST01WEB,Windows Presentation Foundation Font Cache 3.0.0.0,Stopped,Manual
DCTEST01WEB,Group Policy Client,Running,Automatic
DCTEST01WEB,Human Interface Device Access,Stopped,Manual
DCTEST01WEB,Health Key and Certificate Management,Stopped,Manual
DCTEST01WEB,IIS Admin Service,Running,Automatic
DCTEST01WEB,IKE and AuthIP IPsec Keying Modules,Running,Automatic
DCTEST01WEB,IP Helper,Running,Automatic
DCTEST01WEB,CNG Key Isolation,Stopped,Manual
DCTEST01WEB,KDC Proxy Server service (KPS),Stopped,Manual
DCTEST01WEB,KtmRm for Distributed Transaction Coordinator,Stopped,Manual
DCTEST01WEB,Server,Running,Automatic
DCTEST01WEB,Workstation,Running,Automatic
DCTEST01WEB,Link-Layer Topology Discovery Mapper,Stopped,Manual
DCTEST01WEB,TCP/IP NetBIOS Helper,Running,Automatic
DCTEST01WEB,Local Session Manager,Running,Automatic
DCTEST01WEB,Multimedia Class Scheduler,Stopped,Manual
DCTEST01WEB,Windows Firewall,Running,Automatic
DCTEST01WEB,Web Deployment Agent Service,Running,Automatic
DCTEST01WEB,Distributed Transaction Coordinator,Running,Automatic
DCTEST01WEB,Microsoft iSCSI Initiator Service,Stopped,Manual
DCTEST01WEB,Windows Installer,Stopped,Manual
DCTEST01WEB,Network Access Protection Agent,Stopped,Manual
DCTEST01WEB,Network Connectivity Assistant,Stopped,Manual
DCTEST01WEB,Netlogon,Running,Automatic
DCTEST01WEB,Network Connections,Stopped,Manual
DCTEST01WEB,Network List Service,Running,Manual
DCTEST01WEB,Net.Tcp Port Sharing Service,Stopped,Disabled
DCTEST01WEB,Network Location Awareness,Running,Automatic
DCTEST01WEB,Network Store Interface Service,Running,Automatic
DCTEST01WEB,Performance Counter DLL Host,Stopped,Manual
DCTEST01WEB,Performance Logs & Alerts,Stopped,Manual
DCTEST01WEB,Plug and Play,Running,Manual
DCTEST01WEB,IPsec Policy Agent,Running,Manual
DCTEST01WEB,Power,Running,Automatic
DCTEST01WEB,Printer Extensions and Notifications,Stopped,Manual
DCTEST01WEB,User Profile Service,Running,Automatic
DCTEST01WEB,Remote Access Auto Connection Manager,Stopped,Manual
DCTEST01WEB,Remote Access Connection Manager,Stopped,Manual
DCTEST01WEB,Routing and Remote Access,Stopped,Disabled
DCTEST01WEB,Remote Registry,Stopped,Manual
DCTEST01WEB,RPC Endpoint Mapper,Running,Automatic
DCTEST01WEB,Remote Procedure Call (RPC) Locator,Stopped,Manual
DCTEST01WEB,Remote Procedure Call (RPC),Running,Automatic
DCTEST01WEB,RSA Pipe Service,Running,Automatic
DCTEST01WEB,RSA Pipe Service32,Running,Automatic
DCTEST01WEB,RSA Config Service,Running,Automatic
DCTEST01WEB,RSA Config Service32,Running,Automatic
DCTEST01WEB,Resultant Set of Policy Provider,Stopped,Manual
DCTEST01WEB,SA SFTP Agent,Stopped,Automatic
DCTEST01WEB,Special Administration Console Helper,Stopped,Manual
DCTEST01WEB,Security Accounts Manager,Running,Automatic
DCTEST01WEB,Smart Card,Stopped,Disabled
DCTEST01WEB,Task Scheduler,Running,Automatic
DCTEST01WEB,Smart Card Removal Policy,Stopped,Manual
DCTEST01WEB,Secondary Logon,Stopped,Manual
DCTEST01WEB,System Event Notification Service,Running,Automatic
DCTEST01WEB,Remote Desktop Configuration,Running,Manual
DCTEST01WEB,Internet Connection Sharing (ICS),Stopped,Disabled
DCTEST01WEB,Shell Hardware Detection,Stopped,Automatic
DCTEST01WEB,SNMP Service,Running,Automatic
DCTEST01WEB,SNMP Trap,Stopped,Manual
DCTEST01WEB,Print Spooler,Running,Automatic
DCTEST01WEB,Software Protection,Stopped,Automatic
DCTEST01WEB,SSDP Discovery,Stopped,Disabled
DCTEST01WEB,Secure Socket Tunneling Protocol Service,Stopped,Manual
DCTEST01WEB,Spot Verifier,Stopped,Manual
DCTEST01WEB,Microsoft Software Shadow Copy Provider,Stopped,Manual
DCTEST01WEB,Superfetch,Stopped,Manual
DCTEST01WEB,Telephony,Stopped,Manual
DCTEST01WEB,Remote Desktop Services,Running,Manual
